country_id,date,cases,deaths,cases_14_100k,cases_100k
AD,12/31/2019,0,0,0,0
AD,1/1/2020,0,0,0,0
AD,1/2/2020,0,0,0,0
AD,1/3/2020,0,0,0,0
AD,1/4/2020,0,0,0,0
AD,1/5/2020,0,0,0,0
AD,1/6/2020,0,0,0,0
AD,1/7/2020,0,0,0,0
AD,1/8/2020,0,0,0,0
AD,1/9/2020,0,0,0,0
AD,1/10/2020,0,0,0,0
AD,1/11/2020,0,0,0,0
AD,1/12/2020,0,0,0,0
AD,1/13/2020,0,0,0,0
AD,1/14/2020,0,0,0,0
AD,1/15/2020,0,0,0,0
AD,1/16/2020,0,0,0,0
AD,1/17/2020,0,0,0,0
AD,1/18/2020,0,0,0,0
AD,1/19/2020,0,0,0,0
AD,1/20/2020,0,0,0,0
AD,1/21/2020,0,0,0,0
AD,1/22/2020,0,0,0,0
AD,1/23/2020,0,0,0,0
AD,1/24/2020,0,0,0,0
AD,1/25/2020,0,0,0,0
AD,1/26/2020,0,0,0,0
AD,1/27/2020,0,0,0,0
AD,1/28/2020,0,0,0,0
AD,1/29/2020,0,0,0,0
AD,1/30/2020,0,0,0,0
AD,1/31/2020,0,0,0,0
AD,2/1/2020,0,0,0,0
AD,2/2/2020,0,0,0,0
AD,2/3/2020,0,0,0,0
AD,2/4/2020,0,0,0,0
AD,2/5/2020,0,0,0,0
AD,2/6/2020,0,0,0,0
AD,2/7/2020,0,0,0,0
AD,2/8/2020,0,0,0,0
AD,2/9/2020,0,0,0,0
AD,2/10/2020,0,0,0,0
AD,2/11/2020,0,0,0,0
AD,2/12/2020,0,0,0,0
AD,2/13/2020,0,0,0,0
AD,2/14/2020,0,0,0,0
AD,2/15/2020,0,0,0,0
AD,2/16/2020,0,0,0,0
AD,2/17/2020,0,0,0,0
AD,2/18/2020,0,0,0,0
AD,2/19/2020,0,0,0,0
AD,2/20/2020,0,0,0,0
AD,2/21/2020,0,0,0,0
AD,2/22/2020,0,0,0,0
AD,2/23/2020,0,0,0,0
AD,2/24/2020,0,0,0,0
AD,2/25/2020,0,0,0,0
AD,2/26/2020,0,0,0,0
AD,2/27/2020,0,0,0,0
AD,2/28/2020,0,0,0,0
AD,2/29/2020,0,0,0,0
AD,3/1/2020,0,0,0,0
AD,3/2/2020,0,0,0,0
AD,3/3/2020,1,0,1.31,1.31
AD,3/4/2020,1,0,1.31,1.31
AD,3/5/2020,1,0,1.31,1.31
AD,3/6/2020,1,0,1.31,1.31
AD,3/7/2020,1,0,1.31,1.31
AD,3/8/2020,1,0,1.31,1.31
AD,3/9/2020,1,0,1.31,1.31
AD,3/10/2020,1,0,1.31,1.31
AD,3/11/2020,1,0,1.31,1.31
AD,3/12/2020,1,0,1.31,1.31
AD,3/13/2020,1,0,1.31,1.31
AD,3/14/2020,2,0,2.63,2.63
AD,3/15/2020,2,0,2.63,2.63
AD,3/16/2020,5,0,5.25,6.56
AD,3/17/2020,14,0,17.07,18.38
AD,3/18/2020,14,0,17.07,18.38
AD,3/19/2020,53,0,68.26,69.57
AD,3/20/2020,75,0,97.14,98.45
AD,3/21/2020,75,0,97.14,98.45
AD,3/22/2020,88,0,114.21,115.52
AD,3/23/2020,113,0,147.03,148.34
AD,3/24/2020,133,0,173.28,174.59
AD,3/25/2020,164,0,213.98,215.29
AD,3/26/2020,188,0,245.48,246.79
AD,3/27/2020,224,3,291.43,294.05
AD,3/28/2020,267,3,347.87,350.5
AD,3/29/2020,308,4,397.76,404.32
AD,3/30/2020,334,6,420.07,438.45
AD,3/31/2020,370,8,467.33,485.71
AD,4/1/2020,376,12,424.01,493.59
AD,4/2/2020,390,14,413.51,511.97
AD,4/3/2020,428,15,463.39,561.85
AD,4/4/2020,439,16,460.77,576.29
AD,4/5/2020,466,17,463.39,611.73
AD,4/6/2020,501,18,483.09,657.68
AD,4/7/2020,526,21,475.21,690.5
AD,4/8/2020,545,22,468.65,715.44
AD,4/9/2020,564,23,446.33,740.38
AD,4/10/2020,583,25,414.82,765.32
AD,4/11/2020,601,26,384.63,788.95
AD,4/12/2020,622,28,378.07,816.52
AD,4/13/2020,638,29,351.81,837.52
AD,4/14/2020,646,29,354.44,848.02
AD,4/15/2020,659,31,353.12,865.09
AD,4/16/2020,673,33,321.62,883.47
AD,4/17/2020,682,33,318.99,895.28
AD,4/18/2020,696,35,301.93,913.66
AD,4/19/2020,704,35,266.48,924.16
AD,4/20/2020,713,36,245.48,935.98
AD,4/21/2020,717,36,225.79,941.23
AD,4/22/2020,717,37,200.85,941.23
AD,4/23/2020,723,37,183.78,949.11
AD,4/24/2020,724,37,161.47,950.42
AD,4/25/2020,731,40,143.09,959.61
AD,4/26/2020,733,40,124.71,962.23
AD,4/27/2020,740,40,123.4,971.42
AD,4/28/2020,743,40,110.27,975.36
AD,4/29/2020,743,41,91.89,975.36
AD,4/30/2020,743,42,80.08,975.36
AD,5/1/2020,745,42,64.32,977.99
AD,5/2/2020,746,43,55.13,979.3
AD,5/3/2020,747,44,44.63,980.61
AD,5/4/2020,748,45,40.69,981.92
AD,5/5/2020,750,45,43.32,984.55
AD,5/6/2020,751,46,36.76,985.86
AD,5/7/2020,751,46,35.44,985.86
AD,5/8/2020,752,47,27.57,987.17
AD,5/9/2020,752,47,24.94,987.17
